date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:32:18	66035/66035	---M--	200	added ('OK')	image/jpeg	etag:%22101f3-5b3ac1e03ab6c%22	http://localhost/marketnow/wp-content/uploads/2020/11/pexels-pixabay-267350-scaled-e1604926702101-1024x571.jpg	/home/miguel/websites/MrRobot%20/localhost/marketnow/wp-content/uploads/2020/11/pexels-pixabay-267350-scaled-e1604926702101-1024x571.jpg	(from http://localhost/marketnow/index.php/nuevas-tendencias-en-el-marketing-digital/)
13:32:19	54177/54177	---M--	200	added ('OK')	image/jpeg	etag:%22d3a1-5b3a4544fba85%22	http://localhost/marketnow/wp-content/uploads/2020/11/pexels-karolina-grabowska-5625007-1-1024x683.jpg	/home/miguel/websites/MrRobot%20/localhost/marketnow/wp-content/uploads/2020/11/pexels-karolina-grabowska-5625007-1-1024x683.jpg	(from http://localhost/marketnow/index.php/nuevas-tendencias-en-el-marketing-digital/)
13:32:24	223892/223892	---M--	200	added ('OK')	text/html	etag:%2236a94-59583f2a97700%22	http://localhost/marketnow/wp-content/themes/twentytwenty/assets/fonts/inter/Inter-upright-var.woff2	/home/miguel/websites/MrRobot%20/localhost/marketnow/wp-content/themes/twentytwenty/assets/fonts/inter/Inter-upright-var.html	(from http://localhost/marketnow/wp-content/themes/twentytwenty/style.css?ver=1.5)
13:32:28	10366/10366	UR-MC-	200	added ('OK')	application/json	date:Sat,%2028%20Nov%202020%2017:32:18%20GMT	http://localhost/marketnow/index.php/wp-json/wp/v2/pages/28	/home/miguel/websites/MrRobot%20/localhost/marketnow/index.php/wp-json/wp/v2/pages/28.json	(from http://localhost/marketnow/)
13:32:30	236832/236832	---M--	200	added ('OK')	text/html	etag:%2239d20-59583f2a97700%22	http://localhost/marketnow/wp-content/themes/twentytwenty/assets/fonts/inter/Inter-italic-var.woff2	/home/miguel/websites/MrRobot%20/localhost/marketnow/wp-content/themes/twentytwenty/assets/fonts/inter/Inter-italic-var.html	(from http://localhost/marketnow/wp-content/themes/twentytwenty/style.css?ver=1.5)
13:32:32	149476/149476	---M--	200	added ('OK')	image/jpeg	etag:%22247e4-5b3a455e4fc63%22	http://localhost/marketnow/wp-content/uploads/2020/11/pexels-pixabay-4158-1-1200x797.jpg	/home/miguel/websites/MrRobot%20/localhost/marketnow/wp-content/uploads/2020/11/pexels-pixabay-4158-1-1200x797.jpg	(from http://localhost/marketnow/index.php/nuevas-tendencias-en-el-marketing-digital/)
13:32:32	83201/-1	---M--	200	added ('OK')	application/json	date:Sat,%2028%20Nov%202020%2017:32:12%20GMT	http://localhost/marketnow/index.php/wp-json/	/home/miguel/websites/MrRobot%20/localhost/marketnow/index.php/wp-json/index.html	(from http://localhost/marketnow/)
13:32:32	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2028%20Nov%202020%2017:32:28%20GMT	http://localhost/marketnow/xmlrpc.php?rsd	/home/miguel/websites/MrRobot%20/localhost/marketnow/xmlrpc0db0.php	(from http://localhost/marketnow/)
13:32:32	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2028%20Nov%202020%2017:32:30%20GMT	http://localhost/marketnow/wp-includes/wlwmanifest.xml	/home/miguel/websites/MrRobot%20/localhost/marketnow/wp-includes/wlwmanifest.xml	(from http://localhost/marketnow/)
13:32:34	35878/-1	---M--	200	added ('OK')	text/html	date:Sat,%2028%20Nov%202020%2017:32:32%20GMT	http://localhost/marketnow/index.php/que-es-le-marketing/	/home/miguel/websites/MrRobot%20/localhost/marketnow/index.php/que-es-le-marketing/index.html	(from http://localhost/marketnow/)
13:32:34	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2028%20Nov%202020%2017:32:33%20GMT	http://localhost/marketnow/wp-content/uploads/2020/11/g5998-1007x1024.png	/home/miguel/websites/MrRobot%20/localhost/marketnow/wp-content/uploads/2020/11/g5998-1007x1024.png	(from http://localhost/marketnow/)
13:32:34	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2028%20Nov%202020%2017:32:33%20GMT	http://localhost/marketnow/wp-content/uploads/2020/11/pexels-negative-space-34639-1024x683.jpg	/home/miguel/websites/MrRobot%20/localhost/marketnow/wp-content/uploads/2020/11/pexels-negative-space-34639-1024x683.jpg	(from http://localhost/marketnow/)
13:32:34	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2028%20Nov%202020%2017:32:33%20GMT	http://localhost/marketnow/wp-content/uploads/2020/11/pexels-canva-studio-3194518-1024x683.jpg	/home/miguel/websites/MrRobot%20/localhost/marketnow/wp-content/uploads/2020/11/pexels-canva-studio-3194518-1024x683.jpg	(from http://localhost/marketnow/)
13:32:35	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2028%20Nov%202020%2017:32:34%20GMT	http://localhost/marketnow/index.php/wp-json/wp/v2/pages/87	/home/miguel/websites/MrRobot%20/localhost/marketnow/index.php/wp-json/wp/v2/pages/87.json	(from http://localhost/marketnow/index.php/que-es-le-marketing/)
13:32:35	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Nov%202020%2017:32:35%20GMT	http://localhost/marketnow/?p=87	/home/miguel/websites/MrRobot%20/localhost/marketnow/index5d38.html	(from http://localhost/marketnow/index.php/que-es-le-marketing/)
13:32:36	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2028%20Nov%202020%2017:32:35%20GMT	http://localhost/marketnow/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fmarketnow%2Findex.php%2Fque-es-le-marketing%2F	/home/miguel/websites/MrRobot%20/localhost/marketnow/index.php/wp-json/oembed/1.0/embede1ac.json	(from http://localhost/marketnow/index.php/que-es-le-marketing/)
13:32:36	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2028%20Nov%202020%2017:32:35%20GMT	http://localhost/marketnow/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fmarketnow%2Findex.php%2Fque-es-le-marketing%2F&format=xml	/home/miguel/websites/MrRobot%20/localhost/marketnow/index.php/wp-json/oembed/1.0/embed9756	(from http://localhost/marketnow/index.php/que-es-le-marketing/)
13:32:36	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Nov%202020%2017:32:36%20GMT	http://localhost/marketnow/?p=147	/home/miguel/websites/MrRobot%20/localhost/marketnow/index2fa7.html	(from http://localhost/marketnow/index.php/que-es-el-marketing-digital/)
13:32:37	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sat,%2028%20Nov%202020%2017:32:36%20GMT	http://localhost/marketnow/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fmarketnow%2Findex.php%2Fque-es-el-marketing-digital%2F	/home/miguel/websites/MrRobot%20/localhost/marketnow/index.php/wp-json/oembed/1.0/embedff47.json	(from http://localhost/marketnow/index.php/que-es-el-marketing-digital/)
13:32:37	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Nov%202020%2017:32:37%20GMT	http://localhost/marketnow/?p=153	/home/miguel/websites/MrRobot%20/localhost/marketnow/indexd7d8.html	(from http://localhost/marketnow/index.php/nuevas-tendencias-en-el-marketing-digital/)
